# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.965683537600000141e-02
4.020000000000000000e+02,3.657112220800000368e-02
4.030000000000000000e+02,3.805004049800000260e-02
4.040000000000000000e+02,3.628494044400000507e-02
4.050000000000000000e+02,3.694558548200000542e-02
4.060000000000000000e+02,3.608419002399999853e-02
4.070000000000000000e+02,1.520441777199999997e-02
4.080000000000000000e+02,3.250599372000000098e-02
4.090000000000000000e+02,3.651701845000000779e-02
4.100000000000000000e+02,3.604912796799999986e-02
4.110000000000000000e+02,4.718838827599999538e-04
4.120000000000000000e+02,5.810690516000000189e-05
4.130000000000000000e+02,5.027323310000000704e-05
4.140000000000000000e+02,9.206745160000000131e-05
4.150000000000000000e+02,3.206297602000000185e-05
4.160000000000000000e+02,6.384891766599999478e-05
4.170000000000000000e+02,4.984313822799999990e-05
4.180000000000000000e+02,9.013851224000000648e-05
4.190000000000000000e+02,3.266427922000000379e-05
4.200000000000000000e+02,2.203431036000000126e-05
