# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.908209124599999557e-02
4.020000000000000000e+02,3.697503375600000308e-02
4.030000000000000000e+02,3.698250493000000694e-02
4.040000000000000000e+02,3.668418904200000663e-02
4.050000000000000000e+02,3.736148504400000486e-02
4.060000000000000000e+02,3.653507716600000454e-02
4.070000000000000000e+02,1.536651339999999845e-02
4.080000000000000000e+02,3.210448195400000121e-02
4.090000000000000000e+02,3.660451991600000704e-02
4.100000000000000000e+02,3.641213482800000067e-02
4.110000000000000000e+02,4.898688356799999919e-04
4.120000000000000000e+02,5.572636014000000384e-05
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,8.182804720000000170e-05
4.150000000000000000e+02,4.442566871799999656e-05
4.160000000000000000e+02,1.382039477905999821e-04
4.170000000000000000e+02,2.708688768000000254e-05
4.180000000000000000e+02,5.898166662000000785e-05
4.190000000000000000e+02,0.000000000000000000e+00
4.200000000000000000e+02,2.797364126000000031e-05
