# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.975143802799999973e-02
4.020000000000000000e+02,3.657503114800000205e-02
4.030000000000000000e+02,3.828254339199999717e-02
4.040000000000000000e+02,3.623507758000000384e-02
4.050000000000000000e+02,3.694076233799999803e-02
4.060000000000000000e+02,3.605527344000000051e-02
4.070000000000000000e+02,1.513750587600000072e-02
4.080000000000000000e+02,3.250660453400000538e-02
4.090000000000000000e+02,3.649260498999999658e-02
4.100000000000000000e+02,3.593582735799999428e-02
4.110000000000000000e+02,4.890169917000000005e-04
4.120000000000000000e+02,2.129068506000000058e-05
4.130000000000000000e+02,5.266280806600000957e-05
4.140000000000000000e+02,3.789659187399999725e-05
4.150000000000000000e+02,0.000000000000000000e+00
4.160000000000000000e+02,1.198546069280000126e-04
4.170000000000000000e+02,4.177968565999999666e-05
4.180000000000000000e+02,1.098456987799999987e-04
4.190000000000000000e+02,1.606940225399999805e-05
4.200000000000000000e+02,6.783160371999999861e-05
