# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.912931075600000419e-02
4.020000000000000000e+02,3.696167610799999670e-02
4.030000000000000000e+02,3.731516563399999570e-02
4.040000000000000000e+02,3.665010554599999748e-02
4.050000000000000000e+02,3.738263025799999639e-02
4.060000000000000000e+02,3.657365962800000064e-02
4.070000000000000000e+02,1.526838481999999962e-02
4.080000000000000000e+02,3.207597605999999713e-02
4.090000000000000000e+02,3.683483158399999957e-02
4.100000000000000000e+02,3.645715860399999925e-02
4.110000000000000000e+02,4.844759446200000040e-04
4.120000000000000000e+02,6.592008045999999657e-05
4.130000000000000000e+02,2.347529917999999951e-05
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,4.665513076000000223e-05
4.160000000000000000e+02,9.425156036000000850e-05
4.170000000000000000e+02,1.331018590800000069e-04
4.180000000000000000e+02,1.019350164080000051e-04
4.190000000000000000e+02,1.070391984800000030e-04
4.200000000000000000e+02,3.090729388000000035e-05
