# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.960104270400000168e-02
4.020000000000000000e+02,3.655420856600000157e-02
4.030000000000000000e+02,3.795576330400000226e-02
4.040000000000000000e+02,3.623337289000000405e-02
4.050000000000000000e+02,3.695533718999999967e-02
4.060000000000000000e+02,3.609086344999999640e-02
4.070000000000000000e+02,1.513903556600000068e-02
4.080000000000000000e+02,3.239580302199999984e-02
4.090000000000000000e+02,3.652894034399999795e-02
4.100000000000000000e+02,3.594280723599999755e-02
4.110000000000000000e+02,4.885278951200000335e-04
4.120000000000000000e+02,7.175010511999999421e-05
4.130000000000000000e+02,4.331469393999999844e-05
4.140000000000000000e+02,1.998173819400000074e-05
4.150000000000000000e+02,0.000000000000000000e+00
4.160000000000000000e+02,1.023068108800000067e-04
4.170000000000000000e+02,1.141008142799999903e-04
4.180000000000000000e+02,6.701122929800000668e-05
4.190000000000000000e+02,2.265431062000000092e-05
4.200000000000000000e+02,3.540426180000000203e-05
