# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.947620522199999663e-02
4.020000000000000000e+02,3.638819755199999839e-02
4.030000000000000000e+02,3.759557029000000494e-02
4.040000000000000000e+02,3.612502441199999526e-02
4.050000000000000000e+02,3.681771004800000330e-02
4.060000000000000000e+02,3.598661438400000551e-02
4.070000000000000000e+02,1.510736221399999746e-02
4.080000000000000000e+02,3.239862330600000451e-02
4.090000000000000000e+02,3.641563487600000398e-02
4.100000000000000000e+02,3.582083346599999885e-02
4.110000000000000000e+02,4.959345127399999390e-04
4.120000000000000000e+02,0.000000000000000000e+00
4.130000000000000000e+02,7.176841139999999867e-05
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,1.381474293799999839e-04
4.160000000000000000e+02,8.249219521799999115e-05
4.170000000000000000e+02,5.249418124800000953e-05
4.180000000000000000e+02,9.229393429400001357e-05
4.190000000000000000e+02,1.171567211600000040e-04
4.200000000000000000e+02,0.000000000000000000e+00
