# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.895553390599999583e-02
4.020000000000000000e+02,3.693015806399999740e-02
4.030000000000000000e+02,3.666283458400000639e-02
4.040000000000000000e+02,3.650518949800000273e-02
4.050000000000000000e+02,3.726079328000000274e-02
4.060000000000000000e+02,3.634345129599999419e-02
4.070000000000000000e+02,1.528868163400000021e-02
4.080000000000000000e+02,3.203827775200000783e-02
4.090000000000000000e+02,3.630174701399999787e-02
4.100000000000000000e+02,3.626792891600000290e-02
4.110000000000000000e+02,4.926443965599999883e-04
4.120000000000000000e+02,6.762570109999999969e-05
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,8.872227190000000108e-05
4.150000000000000000e+02,7.991980093999999715e-05
4.160000000000000000e+02,1.387442497000000144e-04
4.170000000000000000e+02,0.000000000000000000e+00
4.180000000000000000e+02,8.321752135999999859e-05
4.190000000000000000e+02,9.012024233999999380e-05
4.200000000000000000e+02,0.000000000000000000e+00
