# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.943829381999999925e-02
4.020000000000000000e+02,3.664397816800000346e-02
4.030000000000000000e+02,3.793822804799999726e-02
4.040000000000000000e+02,3.639866884399999697e-02
4.050000000000000000e+02,3.705897980599999475e-02
4.060000000000000000e+02,3.621619316799999655e-02
4.070000000000000000e+02,1.520408733600000020e-02
4.080000000000000000e+02,3.238805000600000067e-02
4.090000000000000000e+02,3.665326070400000413e-02
4.100000000000000000e+02,3.606380671400000182e-02
4.110000000000000000e+02,4.851681277999999806e-04
4.120000000000000000e+02,4.726228248400000020e-05
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,8.606423018000000072e-05
4.160000000000000000e+02,2.107443533000000007e-04
4.170000000000000000e+02,4.450747978419999874e-05
4.180000000000000000e+02,0.000000000000000000e+00
4.190000000000000000e+02,8.717747579999999446e-05
4.200000000000000000e+02,6.334490426800000636e-05
