# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.953691357799999653e-02
4.020000000000000000e+02,3.632848697999999793e-02
4.030000000000000000e+02,3.763056905200000413e-02
4.040000000000000000e+02,3.607364787600000205e-02
4.050000000000000000e+02,3.674103399999999187e-02
4.060000000000000000e+02,3.595580831399999844e-02
4.070000000000000000e+02,1.512952265799999939e-02
4.080000000000000000e+02,3.248949594600000074e-02
4.090000000000000000e+02,3.642014709799999694e-02
4.100000000000000000e+02,3.575539242599999612e-02
4.110000000000000000e+02,4.524471644600000617e-04
4.120000000000000000e+02,1.641330243000000094e-04
4.130000000000000000e+02,3.481528917999999865e-05
4.140000000000000000e+02,7.168482050000000126e-05
4.150000000000000000e+02,4.188655873999999873e-05
4.160000000000000000e+02,1.105384730600000040e-04
4.170000000000000000e+02,3.147949656000000181e-05
4.180000000000000000e+02,1.239424864400000021e-04
4.190000000000000000e+02,8.717994508000001725e-05
4.200000000000000000e+02,5.253029061999999605e-05
