# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.900719320799999973e-02
4.020000000000000000e+02,3.705239554200000229e-02
4.030000000000000000e+02,3.682216615599999410e-02
4.040000000000000000e+02,3.670333241999999829e-02
4.050000000000000000e+02,3.738090682600000297e-02
4.060000000000000000e+02,3.664222202200000111e-02
4.070000000000000000e+02,1.539545243800000129e-02
4.080000000000000000e+02,3.209420206000000025e-02
4.090000000000000000e+02,3.638365615399999364e-02
4.100000000000000000e+02,3.643071338200000453e-02
4.110000000000000000e+02,4.926310297999999177e-04
4.120000000000000000e+02,0.000000000000000000e+00
4.130000000000000000e+02,8.983899567999999950e-05
4.140000000000000000e+02,4.656836251999999995e-05
4.150000000000000000e+02,8.000318555999999591e-05
4.160000000000000000e+02,9.171862483999999069e-05
4.170000000000000000e+02,7.330757287999999745e-05
4.180000000000000000e+02,8.644593365999999734e-05
4.190000000000000000e+02,9.111047874000000838e-05
4.200000000000000000e+02,6.426293097999998926e-05
