# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.969119975199999845e-02
4.020000000000000000e+02,3.629754707200000263e-02
4.030000000000000000e+02,3.786931064000000069e-02
4.040000000000000000e+02,3.598147426000000010e-02
4.050000000000000000e+02,3.670194051999999679e-02
4.060000000000000000e+02,3.586160975600000134e-02
4.070000000000000000e+02,1.523641976799999798e-02
4.080000000000000000e+02,3.260122246400000423e-02
4.090000000000000000e+02,3.635452428600000063e-02
4.100000000000000000e+02,3.566708179199999662e-02
4.110000000000000000e+02,5.225387675399999991e-04
4.120000000000000000e+02,3.581779085999999896e-05
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,2.311279690000000021e-05
4.150000000000000000e+02,1.133054968199999894e-04
4.160000000000000000e+02,8.747069509200000473e-05
4.170000000000000000e+02,2.320207659999999999e-05
4.180000000000000000e+02,9.457149785999999767e-05
4.190000000000000000e+02,4.986659693999999398e-05
4.200000000000000000e+02,0.000000000000000000e+00
