# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.965912518800000244e-02
4.020000000000000000e+02,3.626530404800000496e-02
4.030000000000000000e+02,3.783440198600000054e-02
4.040000000000000000e+02,3.594432481200000168e-02
4.050000000000000000e+02,3.662889015800000619e-02
4.060000000000000000e+02,3.580142479799999777e-02
4.070000000000000000e+02,1.523467935999999953e-02
4.080000000000000000e+02,3.260089427400000156e-02
4.090000000000000000e+02,3.629268014800000192e-02
4.100000000000000000e+02,3.572545788999999250e-02
4.110000000000000000e+02,4.509296868400000007e-04
4.120000000000000000e+02,2.894204201999999959e-05
4.130000000000000000e+02,3.726757216000000278e-05
4.140000000000000000e+02,6.021836636000000008e-05
4.150000000000000000e+02,5.923566194200000383e-05
4.160000000000000000e+02,5.928153574999999760e-05
4.170000000000000000e+02,3.542103281999999854e-05
4.180000000000000000e+02,1.159493815300000004e-04
4.190000000000000000e+02,8.732194337599999802e-05
4.200000000000000000e+02,4.632329020200000064e-05
