# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.971711026400000039e-02
4.020000000000000000e+02,3.680011276200000070e-02
4.030000000000000000e+02,3.837689605800000126e-02
4.040000000000000000e+02,3.641495073599999854e-02
4.050000000000000000e+02,3.720684591800000468e-02
4.060000000000000000e+02,3.625175829800000166e-02
4.070000000000000000e+02,1.529148463799999934e-02
4.080000000000000000e+02,3.244928004000000032e-02
4.090000000000000000e+02,3.674063738000000329e-02
4.100000000000000000e+02,3.613077235800000314e-02
4.110000000000000000e+02,4.798556108599999590e-04
4.120000000000000000e+02,1.266968514799999873e-04
4.130000000000000000e+02,4.343701563999999762e-06
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,4.051919711999999964e-05
4.160000000000000000e+02,1.518917148599999709e-04
4.170000000000000000e+02,9.626693104000000909e-05
4.180000000000000000e+02,2.233762006000000142e-05
4.190000000000000000e+02,1.054829068700000109e-04
4.200000000000000000e+02,8.483425468799998662e-05
