# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.899807206799999773e-02
4.020000000000000000e+02,3.776876738999999927e-02
4.030000000000000000e+02,3.768323672800000246e-02
4.040000000000000000e+02,3.747161868400000068e-02
4.050000000000000000e+02,3.814352088800000012e-02
4.060000000000000000e+02,3.736982133399999878e-02
4.070000000000000000e+02,1.540953984399999997e-02
4.080000000000000000e+02,3.185923785400000124e-02
4.090000000000000000e+02,3.609131559200000339e-02
4.100000000000000000e+02,3.721878444400000124e-02
4.110000000000000000e+02,4.632695673800000104e-04
4.120000000000000000e+02,6.627745375999999518e-05
4.130000000000000000e+02,7.856826783999999980e-05
4.140000000000000000e+02,2.100668867999999872e-05
4.150000000000000000e+02,4.930057543999999756e-05
4.160000000000000000e+02,2.224931269799999866e-04
4.170000000000000000e+02,6.724915816000000897e-05
4.180000000000000000e+02,7.297889951200000605e-05
4.190000000000000000e+02,8.226343789400001314e-05
4.200000000000000000e+02,5.622100671999999313e-05
