# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.927605440600000025e-02
4.020000000000000000e+02,3.691528900799999346e-02
4.030000000000000000e+02,3.742217954399999769e-02
4.040000000000000000e+02,3.657612707600000485e-02
4.050000000000000000e+02,3.732598653400000244e-02
4.060000000000000000e+02,3.646268023600000158e-02
4.070000000000000000e+02,1.537744725000000055e-02
4.080000000000000000e+02,3.219385573999999917e-02
4.090000000000000000e+02,3.691948591199999824e-02
4.100000000000000000e+02,3.631133706000000405e-02
4.110000000000000000e+02,4.694216117800000085e-04
4.120000000000000000e+02,1.097353172399999951e-04
4.130000000000000000e+02,6.423010266000000773e-05
4.140000000000000000e+02,2.800208784000000073e-05
4.150000000000000000e+02,8.173584783999999158e-05
4.160000000000000000e+02,1.613208522599999931e-04
4.170000000000000000e+02,3.704292033999999952e-05
4.180000000000000000e+02,1.285052949800000112e-04
4.190000000000000000e+02,1.799395591999999986e-04
4.200000000000000000e+02,6.102334675400000659e-05
