,Ch. 401 (mA),Ch. 402 (mA),Ch. 403 (mA),Ch. 404 (mA),Ch. 405 (mA),Ch. 406 (mA),Ch. 407 (mA),Ch. 408 (mA),Ch. 409 (mA),Ch. 410 (mA),Ch. 421 (deg C),Ch. 422 (deg C)
2026/05/28 02:35,87.07526832835819,112.49487259701492,113.76156645373133,112.79636042296073,113.33602585074625,111.17198880838323,46.91819528267477,96.72611833836858,111.24302300598802,112.19787991515152,45.72228019,21.30868045
2026/05/28 16:35,86.56140915820893,112.74258922388059,112.48727381492537,113.20730720241691,113.86125638208955,111.88569261676645,46.83750712462005,96.25147387915408,108.05783111377245,112.78419528484848,45.79326298,21.33006242
2026/05/28 18:35,88.93141653731342,109.24517017313433,114.52227251940299,109.01440547432024,110.53436576716418,108.16153924550898,46.303475428571424,98.32639480362536,109.31432950898206,108.94813724848485,45.72583118,21.31588471
2026/05/28 20:35,88.65302540895523,109.19571077014922,114.24012436417908,109.62313943202415,110.44680178507461,108.23529178443113,46.401608668693,98.16094312386707,109.64126539520956,109.16915694545453,45.78114555,21.2707579
2026/05/28 22:35,87.39120718208954,110.19489256119401,111.70799863880595,110.501894489426,111.42085532537313,109.16970130538922,46.73996124620061,97.26240404833835,110.53738297005987,110.03435472727273,45.7769091,21.276677
2026/05/29 02:35,86.85577047164178,110.35558966567163,110.34960439999999,110.83385801208458,111.49132639402985,109.41550193413174,46.9584411793313,97.08838151057402,109.37891026946106,110.29009229090906,45.86434854,21.30616878
2026/05/29 04:35,86.70290803582088,109.7001394686567,109.93545163582087,110.03753341993956,110.8652813253731,109.63149803592816,46.86463585410335,97.41698426586103,108.34619539520956,109.54297646666666,45.85157905,21.33679699
2026/05/29 12:35,88.60670894328359,109.19387645373133,113.70813168955225,109.3663029365559,110.17288428059703,107.74631771257485,46.07435133738601,98.50053116616314,109.30027170059881,109.03479611515151,45.88546714,21.2866548
2026/05/29 14:35,87.13342702686568,112.4152947522388,113.46807432238806,112.7987830634441,113.59819556417908,111.66350256287423,46.63141773252279,96.70766265861027,110.32289198203593,112.2768734,45.7518721,21.38888828
2026/05/29 16:35,88.38303563582089,109.14597330746267,113.69280350447761,110.45838552870089,110.57490331343281,107.85708395808382,46.01983434042553,98.34158194561934,109.11275114371256,108.67587825454544,45.80489771,21.37988084
2026/05/29 18:35,88.50822998208956,108.84093668656716,114.48354875820894,109.61933684592145,110.20983182089554,108.60956949700598,46.056697756838894,98.25627957099695,109.44433829341315,109.02467428484847,45.74900211,21.49690031
