,Ch. 401 (V),Ch. 402 (V),Ch. 403 (V),Ch. 404 (V),Ch. 405 (V),Ch. 406 (V),Ch. 407 (V),Ch. 408 (V),Ch. 409 (V),Ch. 410 (V),Ch. 421 (deg C),Ch. 422 (deg C)
2026/05/28 02:35,0.02917021489,0.03768578232,0.038110124762,0.0373355953,0.03796756866,0.037131444262000005,0.015436086248,0.03201634517,0.037155169684000004,0.037025300372000004,45.72228019,21.30868045
2026/05/28 16:35,0.028998072067999998,0.03776876739,0.037683236728,0.037471618684,0.038143520888,0.037369821334,0.015409539844,0.031859237854,0.036091315592,0.037218784444,45.79326298,21.33006242
2026/05/28 18:35,0.02979202454,0.036597132008,0.038364961294,0.036083768212,0.037029012532,0.036125954108,0.015233843415999999,0.032546036679999994,0.036510986056000005,0.035952885292000004,45.72583118,21.31588471
2026/05/28 20:35,0.029698763512000004,0.036580563107999994,0.038270441662,0.036285259151999996,0.036999678598,0.036150587456,0.015266129251999999,0.032491272174000004,0.036620182641999996,0.036025821792,45.78114555,21.2707579
2026/05/28 22:35,0.029276054406,0.03691528900799999,0.037422179544,0.036576127076000005,0.037325986534,0.036462680236,0.01537744725,0.03219385574,0.036919485912,0.036311337060000004,45.7769091,21.276677
2026/05/29 02:35,0.029096683108,0.036969122538,0.036967117474,0.036686007002,0.037349594342000005,0.036544777646000004,0.015449327148,0.032136254280000005,0.036532556029999996,0.036395730455999996,45.86434854,21.30616878
2026/05/29 04:35,0.029045474191999997,0.036749546721999996,0.036828376297999996,0.036422423562,0.03713986924399999,0.036616920344000006,0.015418465196,0.032245021792000006,0.036187629262,0.036149182234,45.85157905,21.33679699
2026/05/29 12:35,0.029683247496000004,0.036579948612,0.03809222411600001,0.036200246272000004,0.036907916234000006,0.035987270116,0.01515846159,0.032603675816,0.036506290748000006,0.035981482718,45.88546714,21.2866548
2026/05/29 14:35,0.029189698054000002,0.037659123742,0.038011804898000004,0.037336397194000004,0.038055395513999994,0.037295609855999994,0.015341736434,0.032010236340000005,0.036847845922,0.037051368222,45.7518721,21.38888828
2026/05/29 16:35,0.029608316938,0.036563901057999997,0.038087089174,0.03656172561,0.037042592609999994,0.036024266042,0.015140525498,0.032551063624,0.036443658882,0.035863039824,45.80489771,21.37988084
2026/05/29 18:35,0.029650257044,0.03646171379,0.038351988834,0.036284000496,0.036920293660000006,0.036275596212,0.015152653561999999,0.032522828537999995,0.036554408989999995,0.035978142514,45.74900211,21.49690031
2026/05/29 20:35,0.029328120347999996,0.03683769062,0.037698283146,0.036488690424000006,0.037182076742000005,0.036349371586000004,0.015242957069999999,0.032269907663999994,0.036868803648,0.036309019942,45.80805047,21.43621826
2026/05/29 22:35,0.029262536412000002,0.036912031528,0.037430820547999996,0.0365195553,0.037285133405999996,0.036358204724,0.01525957084,0.032192888652,0.036821154584,0.036268420506,45.73846816,21.36876528
2026/05/30 02:35,0.029007193208,0.037052395542,0.036822166155999994,0.03670333242,0.037380906826,0.036642222022,0.015395452438000001,0.03209420206,0.036383656153999994,0.036430713382000005,45.70993454,21.29628127
2026/05/30 04:35,0.029082091245999996,0.036975033756,0.03698250493000001,0.03668418904200001,0.037361485044000005,0.036535077166000005,0.015366513399999998,0.032104481954,0.03660451991600001,0.036412134828,45.7314893,21.34487495
2026/05/30 08:35,0.029656835376,0.036571122208000004,0.038050040498,0.036284940444000005,0.036945585482000005,0.036084190024,0.015204417772,0.03250599372,0.03651701845000001,0.036049127968,45.65883396,21.30823733
2026/05/30 10:35,0.029751438028,0.036575031148,0.038282543392,0.036235077580000004,0.036940762338,0.03605527344,0.015137505876,0.032506604534000005,0.03649260499,0.035935827357999994,45.72176944,21.36913628
2026/05/30 12:35,0.029601042704,0.036554208566,0.037955763304,0.036233372890000004,0.03695533719,0.036090863449999996,0.015139035566,0.032395803022,0.036528940344,0.035942807236,45.85593384,21.38185516
