# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.884972804800000137e-02
4.020000000000000000e+02,3.792721812000000164e-02
4.030000000000000000e+02,3.761223237599999741e-02
4.040000000000000000e+02,3.755885702400000442e-02
4.050000000000000000e+02,3.826075569000000204e-02
4.060000000000000000e+02,3.742410849399999823e-02
4.070000000000000000e+02,1.536593160599999952e-02
4.080000000000000000e+02,3.177897799600000461e-02
4.090000000000000000e+02,3.625045877799999705e-02
4.100000000000000000e+02,3.727598796999999353e-02
4.110000000000000000e+02,4.835982952000000379e-04
4.120000000000000000e+02,1.942165794599999876e-05
4.130000000000000000e+02,7.564215891999999473e-05
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,7.892290188000000381e-05
4.160000000000000000e+02,1.201237143360000078e-04
4.170000000000000000e+02,3.937908086000000091e-05
4.180000000000000000e+02,4.947586166000000034e-05
4.190000000000000000e+02,5.882662307600000385e-05
4.200000000000000000e+02,9.734137523999999010e-05
