# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.926648112799999993e-02
4.020000000000000000e+02,3.678624400799999916e-02
4.030000000000000000e+02,3.721264534199999335e-02
4.040000000000000000e+02,3.649993836399999941e-02
4.050000000000000000e+02,3.714743097199999650e-02
4.060000000000000000e+02,3.639611025000000222e-02
4.070000000000000000e+02,1.532136841200000023e-02
4.080000000000000000e+02,3.221765115400000712e-02
4.090000000000000000e+02,3.680607646799999300e-02
4.100000000000000000e+02,3.623529633800000316e-02
4.110000000000000000e+02,4.853589749999999772e-04
4.120000000000000000e+02,9.244638431999999367e-05
4.130000000000000000e+02,2.976427123999999710e-06
4.140000000000000000e+02,4.081941461999999844e-05
4.150000000000000000e+02,6.515498009999999899e-05
4.160000000000000000e+02,1.004301982079999929e-04
4.170000000000000000e+02,2.112836505799999841e-05
4.180000000000000000e+02,6.208394967199999670e-05
4.190000000000000000e+02,1.318185403199999685e-04
4.200000000000000000e+02,2.717450227999999941e-05
