# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.981890551599999939e-02
4.020000000000000000e+02,3.677496739599999537e-02
4.030000000000000000e+02,3.852208606199999941e-02
4.040000000000000000e+02,3.627405185799999210e-02
4.050000000000000000e+02,3.711531459000000366e-02
4.060000000000000000e+02,3.602626694999999657e-02
4.070000000000000000e+02,1.522615279999999828e-02
4.080000000000000000e+02,3.257503987800000611e-02
4.090000000000000000e+02,3.652193993000000388e-02
4.100000000000000000e+02,3.590012931400000246e-02
4.110000000000000000e+02,4.910097122799999972e-04
4.120000000000000000e+02,2.425773749999999909e-05
4.130000000000000000e+02,3.582863912000000246e-05
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,1.030928030160000169e-04
4.160000000000000000e+02,9.049981411999999999e-05
4.170000000000000000e+02,3.710464526000000244e-05
4.180000000000000000e+02,6.561518231200001109e-05
4.190000000000000000e+02,8.168037776000000214e-05
4.200000000000000000e+02,0.000000000000000000e+00
