# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.977050252399999694e-02
4.020000000000000000e+02,3.662222756399999973e-02
4.030000000000000000e+02,3.832714767599999794e-02
4.040000000000000000e+02,3.622667405200000190e-02
4.050000000000000000e+02,3.695749120999999859e-02
4.060000000000000000e+02,3.602693344599999792e-02
4.070000000000000000e+02,1.523755800000000174e-02
4.080000000000000000e+02,3.257665247799999830e-02
4.090000000000000000e+02,3.657034497999999550e-02
4.100000000000000000e+02,3.591961703999999728e-02
4.110000000000000000e+02,4.744167273799999472e-04
4.120000000000000000e+02,0.000000000000000000e+00
4.130000000000000000e+02,4.772683703400000386e-05
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,2.924138991999999826e-05
4.160000000000000000e+02,8.623187637999999117e-05
4.170000000000000000e+02,6.726695633999999185e-05
4.180000000000000000e+02,1.096196238799999976e-04
4.190000000000000000e+02,8.080003582000000050e-05
4.200000000000000000e+02,3.766768948000000016e-05
