# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.915743835599999764e-02
4.020000000000000000e+02,3.766959970800000390e-02
4.030000000000000000e+02,3.798679147999999700e-02
4.040000000000000000e+02,3.733453845799999948e-02
4.050000000000000000e+02,3.794948340999999836e-02
4.060000000000000000e+02,3.731680789999999859e-02
4.070000000000000000e+02,1.539237532000000200e-02
4.080000000000000000e+02,3.204431055800000677e-02
4.090000000000000000e+02,3.687475874600000536e-02
4.100000000000000000e+02,3.708049328799999794e-02
4.110000000000000000e+02,5.032348784800000883e-04
4.120000000000000000e+02,0.000000000000000000e+00
4.130000000000000000e+02,1.403620570199999842e-05
4.140000000000000000e+02,8.830542297799999919e-05
4.150000000000000000e+02,4.564639401799999984e-05
4.160000000000000000e+02,7.885721636000000544e-05
4.170000000000000000e+02,0.000000000000000000e+00
4.180000000000000000e+02,9.151962211999999509e-05
4.190000000000000000e+02,1.003793562219999996e-04
4.200000000000000000e+02,0.000000000000000000e+00
