# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.971245791400000183e-02
4.020000000000000000e+02,3.635687364000000227e-02
4.030000000000000000e+02,3.809941791399999722e-02
4.040000000000000000e+02,3.600727583399999931e-02
4.050000000000000000e+02,3.677232987199999942e-02
4.060000000000000000e+02,3.585472359199999570e-02
4.070000000000000000e+02,1.518071975800000008e-02
4.080000000000000000e+02,3.260372721399999729e-02
4.090000000000000000e+02,3.643553308800000223e-02
4.100000000000000000e+02,3.578186382600000159e-02
4.110000000000000000e+02,4.861508474399999814e-04
4.120000000000000000e+02,5.574153047400000685e-05
4.130000000000000000e+02,3.270993558000000244e-05
4.140000000000000000e+02,3.542925213999999597e-05
4.150000000000000000e+02,3.763878497600000770e-05
4.160000000000000000e+02,1.874325184599999927e-04
4.170000000000000000e+02,0.000000000000000000e+00
4.180000000000000000e+02,5.318269201999999932e-05
4.190000000000000000e+02,8.219883309999999831e-05
4.200000000000000000e+02,7.143275270000000151e-05
