# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.925600537600000009e-02
4.020000000000000000e+02,3.665006600600000108e-02
4.030000000000000000e+02,3.718431591200000580e-02
4.040000000000000000e+02,3.637699378800000188e-02
4.050000000000000000e+02,3.699093244999999974e-02
4.060000000000000000e+02,3.617515191199999897e-02
4.070000000000000000e+02,1.529138086399999853e-02
4.080000000000000000e+02,3.225403067799999940e-02
4.090000000000000000e+02,3.663864394200000429e-02
4.100000000000000000e+02,3.604952493799999658e-02
4.110000000000000000e+02,4.645244830400000477e-04
4.120000000000000000e+02,3.336839923999999696e-05
4.130000000000000000e+02,3.789390520000000345e-05
4.140000000000000000e+02,7.688817809999999825e-05
4.150000000000000000e+02,4.267596667999999790e-05
4.160000000000000000e+02,9.142860592199999917e-05
4.170000000000000000e+02,1.456055616199999999e-05
4.180000000000000000e+02,4.020680461999999618e-05
4.190000000000000000e+02,0.000000000000000000e+00
4.200000000000000000e+02,2.265963252000000093e-05
