# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.941363953600000317e-02
4.020000000000000000e+02,3.696909030000000013e-02
4.030000000000000000e+02,3.793340226599999782e-02
4.040000000000000000e+02,3.657374745400000099e-02
4.050000000000000000e+02,3.735931739200000490e-02
4.060000000000000000e+02,3.645370616399999653e-02
4.070000000000000000e+02,1.531029566600000148e-02
4.080000000000000000e+02,3.225011480000000014e-02
4.090000000000000000e+02,3.695219537599999521e-02
4.100000000000000000e+02,3.635918767199999846e-02
4.110000000000000000e+02,4.821053227600000210e-04
4.120000000000000000e+02,0.000000000000000000e+00
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,3.751636472000000126e-05
4.150000000000000000e+02,7.125244176000000143e-05
4.160000000000000000e+02,1.936317189399999977e-04
4.170000000000000000e+02,0.000000000000000000e+00
4.180000000000000000e+02,5.263999616000000385e-05
4.190000000000000000e+02,3.981132065999999945e-05
4.200000000000000000e+02,0.000000000000000000e+00
