# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.917021489000000065e-02
4.020000000000000000e+02,3.768578231999999972e-02
4.030000000000000000e+02,3.811012476199999999e-02
4.040000000000000000e+02,3.733559530000000320e-02
4.050000000000000000e+02,3.796756865999999925e-02
4.060000000000000000e+02,3.713144426200000459e-02
4.070000000000000000e+02,1.543608624800000065e-02
4.080000000000000000e+02,3.201634517000000180e-02
4.090000000000000000e+02,3.715516968400000425e-02
4.100000000000000000e+02,3.702530037200000429e-02
4.110000000000000000e+02,5.188902379200000404e-04
4.120000000000000000e+02,1.483351692799999994e-05
4.130000000000000000e+02,4.635608465999999973e-05
4.140000000000000000e+02,1.491331580319999990e-04
4.150000000000000000e+02,2.537037129999999903e-05
4.160000000000000000e+02,4.148405399400000379e-05
4.170000000000000000e+02,4.920549923999999479e-05
4.180000000000000000e+02,2.625230365800000089e-04
4.190000000000000000e+02,1.270297988900000175e-04
4.200000000000000000e+02,4.212104635999999833e-05
