# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.979202453999999986e-02
4.020000000000000000e+02,3.659713200800000094e-02
4.030000000000000000e+02,3.836496129400000094e-02
4.040000000000000000e+02,3.608376821200000306e-02
4.050000000000000000e+02,3.702901253199999965e-02
4.060000000000000000e+02,3.612595410799999962e-02
4.070000000000000000e+02,1.523384341599999872e-02
4.080000000000000000e+02,3.254603667999999422e-02
4.090000000000000000e+02,3.651098605600000546e-02
4.100000000000000000e+02,3.595288529200000444e-02
4.110000000000000000e+02,4.717513654800000139e-04
4.120000000000000000e+02,0.000000000000000000e+00
4.130000000000000000e+02,1.833589877400000092e-05
4.140000000000000000e+02,1.579708810999999884e-04
4.150000000000000000e+02,5.811209088200000025e-05
4.160000000000000000e+02,1.979756350799999831e-04
4.170000000000000000e+02,4.228418358000000097e-05
4.180000000000000000e+02,9.698118193199999494e-05
4.190000000000000000e+02,1.120290066199999796e-04
4.200000000000000000e+02,1.779128753600000076e-05
