# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.969876351200000444e-02
4.020000000000000000e+02,3.658056310799999433e-02
4.030000000000000000e+02,3.827044166199999875e-02
4.040000000000000000e+02,3.628525915199999619e-02
4.050000000000000000e+02,3.699967859799999786e-02
4.060000000000000000e+02,3.615058745599999956e-02
4.070000000000000000e+02,1.526612925199999880e-02
4.080000000000000000e+02,3.249127217400000350e-02
4.090000000000000000e+02,3.662018264199999595e-02
4.100000000000000000e+02,3.602582179199999984e-02
4.110000000000000000e+02,4.726309021800000109e-04
4.120000000000000000e+02,4.351456380000000344e-05
4.130000000000000000e+02,1.152855074599999971e-04
4.140000000000000000e+02,4.831998518000000072e-05
4.150000000000000000e+02,2.771053359999999828e-05
4.160000000000000000e+02,1.880829892180000003e-04
4.170000000000000000e+02,1.431337339599999883e-05
4.180000000000000000e+02,1.695146080080000162e-04
4.190000000000000000e+02,1.606666888000000113e-04
4.200000000000000000e+02,8.476291813999999459e-05
