# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.909668310799999949e-02
4.020000000000000000e+02,3.696912253799999881e-02
4.030000000000000000e+02,3.696711747399999970e-02
4.040000000000000000e+02,3.668600700199999703e-02
4.050000000000000000e+02,3.734959434200000455e-02
4.060000000000000000e+02,3.654477764600000400e-02
4.070000000000000000e+02,1.544932714799999995e-02
4.080000000000000000e+02,3.213625428000000533e-02
4.090000000000000000e+02,3.653255602999999629e-02
4.100000000000000000e+02,3.639573045599999584e-02
4.110000000000000000e+02,4.835932645999999405e-04
4.120000000000000000e+02,2.391849125999999899e-05
4.130000000000000000e+02,1.178390874979999965e-04
4.140000000000000000e+02,6.778830012000000072e-05
4.150000000000000000e+02,0.000000000000000000e+00
4.160000000000000000e+02,9.331231662000001093e-05
4.170000000000000000e+02,8.519910533999999660e-05
4.180000000000000000e+02,2.206049915999999775e-04
4.190000000000000000e+02,5.999986368599999684e-05
4.200000000000000000e+02,8.836230920000000049e-05
