# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.918969805400000242e-02
4.020000000000000000e+02,3.765912374199999885e-02
4.030000000000000000e+02,3.801180489800000395e-02
4.040000000000000000e+02,3.733639719400000390e-02
4.050000000000000000e+02,3.805539551399999415e-02
4.060000000000000000e+02,3.729560985599999351e-02
4.070000000000000000e+02,1.534173643400000078e-02
4.080000000000000000e+02,3.201023634000000478e-02
4.090000000000000000e+02,3.684784592200000125e-02
4.100000000000000000e+02,3.705136822200000291e-02
4.110000000000000000e+02,4.933335072800000033e-04
4.120000000000000000e+02,6.981579632799999593e-05
4.130000000000000000e+02,8.026617974000000387e-05
4.140000000000000000e+02,8.315878460000000673e-05
4.150000000000000000e+02,4.819604137999999622e-05
4.160000000000000000e+02,1.621851478600000072e-04
4.170000000000000000e+02,7.229814015999999816e-05
4.180000000000000000e+02,6.134665750600000911e-05
4.190000000000000000e+02,9.150033079999999697e-05
4.200000000000000000e+02,3.671484046000000445e-05
