# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.948946409800000043e-02
4.020000000000000000e+02,3.616478090599999778e-02
4.030000000000000000e+02,3.739488728600000311e-02
4.040000000000000000e+02,3.585697072600000507e-02
4.050000000000000000e+02,3.656899944599999869e-02
4.060000000000000000e+02,3.577805204999999489e-02
4.070000000000000000e+02,1.506702360599999901e-02
4.080000000000000000e+02,3.248354912399999822e-02
4.090000000000000000e+02,3.621296547800000043e-02
4.100000000000000000e+02,3.561838703599999600e-02
4.110000000000000000e+02,5.119737830599999659e-04
4.120000000000000000e+02,4.885224990399999936e-05
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,8.280125153999999272e-05
4.150000000000000000e+02,3.501568141400000311e-05
4.160000000000000000e+02,0.000000000000000000e+00
4.170000000000000000e+02,0.000000000000000000e+00
4.180000000000000000e+02,8.608935084000000492e-05
4.190000000000000000e+02,9.679767269999999446e-05
4.200000000000000000e+02,0.000000000000000000e+00
