# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.927801793599999966e-02
4.020000000000000000e+02,3.678651524399999956e-02
4.030000000000000000e+02,3.758500952200000134e-02
4.040000000000000000e+02,3.645817651999999631e-02
4.050000000000000000e+02,3.717181904999999897e-02
4.060000000000000000e+02,3.632316789399999551e-02
4.070000000000000000e+02,1.522288722799999827e-02
4.080000000000000000e+02,3.223283471200000250e-02
4.090000000000000000e+02,3.679765259200000471e-02
4.100000000000000000e+02,3.621664157399999417e-02
4.110000000000000000e+02,4.995629915399998986e-04
4.120000000000000000e+02,3.766385630000000488e-05
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,4.185917590000000344e-05
4.150000000000000000e+02,3.114630080000000317e-05
4.160000000000000000e+02,1.096966546199999997e-04
4.170000000000000000e+02,4.882488066200000194e-05
4.180000000000000000e+02,1.978319301999999637e-04
4.190000000000000000e+02,0.000000000000000000e+00
4.200000000000000000e+02,7.766477526000000267e-05
