# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.950657800199999597e-02
4.020000000000000000e+02,3.569111822399999995e-02
4.030000000000000000e+02,3.700533901599999814e-02
4.040000000000000000e+02,3.534184647799999690e-02
4.050000000000000000e+02,3.626239374600000176e-02
4.060000000000000000e+02,3.495016317599999867e-02
4.070000000000000000e+02,1.520915989000000065e-02
4.080000000000000000e+02,3.278866874400000048e-02
4.090000000000000000e+02,3.541512169400000409e-02
4.100000000000000000e+02,3.508076742200000320e-02
4.110000000000000000e+02,4.620532367599999813e-04
4.120000000000000000e+02,0.000000000000000000e+00
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,4.098376208000000019e-05
4.150000000000000000e+02,8.222608997999999493e-05
4.160000000000000000e+02,1.000921289819999970e-04
4.170000000000000000e+02,3.733958291999999894e-05
4.180000000000000000e+02,8.567823904599999689e-05
4.190000000000000000e+02,1.360777863399999959e-04
4.200000000000000000e+02,2.852178897999999881e-05
