# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.924301207400000283e-02
4.020000000000000000e+02,3.667188250999999649e-02
4.030000000000000000e+02,3.725829556600000064e-02
4.040000000000000000e+02,3.644325740599999724e-02
4.050000000000000000e+02,3.705258263800000063e-02
4.060000000000000000e+02,3.624302634399999279e-02
4.070000000000000000e+02,1.523078188599999959e-02
4.080000000000000000e+02,3.223284585999999785e-02
4.090000000000000000e+02,3.668976272399999961e-02
4.100000000000000000e+02,3.616389917600000559e-02
4.110000000000000000e+02,4.600237178999999686e-04
4.120000000000000000e+02,4.526079141200000440e-05
4.130000000000000000e+02,7.905354509999999930e-05
4.140000000000000000e+02,0.000000000000000000e+00
4.150000000000000000e+02,2.626882907999999957e-05
4.160000000000000000e+02,1.901439461999999828e-04
4.170000000000000000e+02,4.054973527799999932e-05
4.180000000000000000e+02,2.444112760599999887e-04
4.190000000000000000e+02,3.384993771999999802e-05
4.200000000000000000e+02,8.068337268000000579e-05
