# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.933973471999999985e-02
4.020000000000000000e+02,3.640127569200000274e-02
4.030000000000000000e+02,3.713725999400000616e-02
4.040000000000000000e+02,3.605346854199999868e-02
4.050000000000000000e+02,3.675482881000000784e-02
4.060000000000000000e+02,3.589378795999999955e-02
4.070000000000000000e+02,1.514081980199999920e-02
4.080000000000000000e+02,3.234701016799999829e-02
4.090000000000000000e+02,3.631966592199999816e-02
4.100000000000000000e+02,3.574551003800000015e-02
4.110000000000000000e+02,4.648001322999999706e-04
4.120000000000000000e+02,9.126658570000000491e-05
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,2.114239472000000055e-05
4.150000000000000000e+02,7.035948502200000212e-05
4.160000000000000000e+02,1.774868658400000131e-04
4.170000000000000000e+02,3.642082146000000492e-05
4.180000000000000000e+02,5.719809559999999973e-05
4.190000000000000000e+02,7.474280608599998877e-05
4.200000000000000000e+02,4.345031652000000118e-05
