# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.929203036999999954e-02
4.020000000000000000e+02,3.642660296800000197e-02
4.030000000000000000e+02,3.711602874000000107e-02
4.040000000000000000e+02,3.620807159999999553e-02
4.050000000000000000e+02,3.681102621199999758e-02
4.060000000000000000e+02,3.597795954399999468e-02
4.070000000000000000e+02,1.517552068599999950e-02
4.080000000000000000e+02,3.233972790600000285e-02
4.090000000000000000e+02,3.643432935399999739e-02
4.100000000000000000e+02,3.593172342599999791e-02
4.110000000000000000e+02,4.599511564200000008e-04
4.120000000000000000e+02,7.719980945999999566e-05
4.130000000000000000e+02,5.848415830800000068e-05
4.140000000000000000e+02,3.472949390600000067e-05
4.150000000000000000e+02,6.252485224000000632e-05
4.160000000000000000e+02,1.144982958719999963e-04
4.170000000000000000e+02,1.361125280000000118e-05
4.180000000000000000e+02,9.695502370000000684e-05
4.190000000000000000e+02,1.005685926080000152e-04
4.200000000000000000e+02,2.644341179999999786e-05
