# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.910893644399999841e-02
4.020000000000000000e+02,3.643552060199999054e-02
4.030000000000000000e+02,3.674942486000000452e-02
4.040000000000000000e+02,3.612614919599999724e-02
4.050000000000000000e+02,3.678242505399999945e-02
4.060000000000000000e+02,3.595215059399999719e-02
4.070000000000000000e+02,1.519262222999999933e-02
4.080000000000000000e+02,3.229618538399999655e-02
4.090000000000000000e+02,3.639802242399999693e-02
4.100000000000000000e+02,3.586848031199999648e-02
4.110000000000000000e+02,5.020957584200000162e-04
4.120000000000000000e+02,1.484946671400000004e-04
4.130000000000000000e+02,0.000000000000000000e+00
4.140000000000000000e+02,4.329248218000000028e-05
4.150000000000000000e+02,0.000000000000000000e+00
4.160000000000000000e+02,1.780168104860000073e-04
4.170000000000000000e+02,1.150838590199999986e-04
4.180000000000000000e+02,4.393154148000000166e-05
4.190000000000000000e+02,4.419431417999999988e-05
4.200000000000000000e+02,1.473810690199999786e-04
