# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.972287788000000514e-02
4.020000000000000000e+02,3.567450364999999457e-02
4.030000000000000000e+02,3.731416236200000430e-02
4.040000000000000000e+02,3.541727137399999781e-02
4.050000000000000000e+02,3.614702633400000004e-02
4.060000000000000000e+02,3.527982903600000025e-02
4.070000000000000000e+02,1.522968548399999955e-02
4.080000000000000000e+02,3.289928018800000048e-02
4.090000000000000000e+02,3.575128434799999810e-02
4.100000000000000000e+02,3.516235372999999831e-02
4.110000000000000000e+02,4.551127989000000032e-04
4.120000000000000000e+02,7.483459284000000035e-05
4.130000000000000000e+02,2.311926065999999989e-05
4.140000000000000000e+02,2.490319833999999764e-05
4.150000000000000000e+02,0.000000000000000000e+00
4.160000000000000000e+02,9.774294623999999724e-05
4.170000000000000000e+02,9.518109946000000523e-05
4.180000000000000000e+02,1.192857236999999996e-04
4.190000000000000000e+02,1.447376008399999901e-05
4.200000000000000000e+02,6.129265339999999122e-06
