# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.932812034799999606e-02
4.020000000000000000e+02,3.683769062000000205e-02
4.030000000000000000e+02,3.769828314600000285e-02
4.040000000000000000e+02,3.648869042400000595e-02
4.050000000000000000e+02,3.718207674200000451e-02
4.060000000000000000e+02,3.634937158600000384e-02
4.070000000000000000e+02,1.524295706999999854e-02
4.080000000000000000e+02,3.226990766399999433e-02
4.090000000000000000e+02,3.686880364799999948e-02
4.100000000000000000e+02,3.630901994199999677e-02
4.110000000000000000e+02,4.804474414400000085e-04
4.120000000000000000e+02,0.000000000000000000e+00
4.130000000000000000e+02,3.834322777799999544e-05
4.140000000000000000e+02,7.684090324000000902e-05
4.150000000000000000e+02,4.362635825799999958e-05
4.160000000000000000e+02,1.083093806079999874e-04
4.170000000000000000e+02,1.621208226400000106e-05
4.180000000000000000e+02,7.730928268000000097e-05
4.190000000000000000e+02,4.744319054000000342e-05
4.200000000000000000e+02,6.255387399999999976e-05
