# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.965025704400000087e-02
4.020000000000000000e+02,3.646171379000000268e-02
4.030000000000000000e+02,3.835198883399999759e-02
4.040000000000000000e+02,3.628400049600000177e-02
4.050000000000000000e+02,3.692029366000000590e-02
4.060000000000000000e+02,3.627559621200000112e-02
4.070000000000000000e+02,1.515265356199999892e-02
4.080000000000000000e+02,3.252282853799999540e-02
4.090000000000000000e+02,3.655440898999999522e-02
4.100000000000000000e+02,3.597814251399999996e-02
4.110000000000000000e+02,4.967374516199999940e-04
4.120000000000000000e+02,6.725901063999999044e-05
4.130000000000000000e+02,3.030981274000000249e-05
4.140000000000000000e+02,5.293953071999999988e-05
4.150000000000000000e+02,1.974447557600000078e-05
4.160000000000000000e+02,1.396339966279999993e-04
4.170000000000000000e+02,8.342722439999999170e-05
4.180000000000000000e+02,9.444629817200001312e-05
4.190000000000000000e+02,3.687859563999999816e-05
4.200000000000000000e+02,2.695019444000000091e-05
