# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.968324749600000437e-02
4.020000000000000000e+02,3.657994861200000031e-02
4.030000000000000000e+02,3.809222411600000913e-02
4.040000000000000000e+02,3.620024627200000428e-02
4.050000000000000000e+02,3.690791623400000582e-02
4.060000000000000000e+02,3.598727011600000303e-02
4.070000000000000000e+02,1.515846159000000005e-02
4.080000000000000000e+02,3.260367581600000231e-02
4.090000000000000000e+02,3.650629074800000595e-02
4.100000000000000000e+02,3.598148271800000186e-02
4.110000000000000000e+02,4.649079867400000106e-04
4.120000000000000000e+02,1.773133913399999983e-04
4.130000000000000000e+02,5.018747209999999511e-05
4.140000000000000000e+02,3.470213103999999842e-05
4.150000000000000000e+02,1.048228084399999962e-04
4.160000000000000000e+02,1.312083959799999915e-04
4.170000000000000000e+02,4.420591888000000383e-05
4.180000000000000000e+02,8.388263150000000508e-05
4.190000000000000000e+02,7.087157785999999640e-05
4.200000000000000000e+02,6.968374166000000582e-05
