# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.904547419199999744e-02
4.020000000000000000e+02,3.674954672199999550e-02
4.030000000000000000e+02,3.682837629799999568e-02
4.040000000000000000e+02,3.642242356199999753e-02
4.050000000000000000e+02,3.713986924399999279e-02
4.060000000000000000e+02,3.661692034400000628e-02
4.070000000000000000e+02,1.541846519600000021e-02
4.080000000000000000e+02,3.224502179200000596e-02
4.090000000000000000e+02,3.618762926199999702e-02
4.100000000000000000e+02,3.614918223400000186e-02
4.110000000000000000e+02,4.912957578000000424e-04
4.120000000000000000e+02,3.226121748000000027e-05
4.130000000000000000e+02,3.613310743999999957e-05
4.140000000000000000e+02,3.057652996000000389e-05
4.150000000000000000e+02,4.746786091399999945e-05
4.160000000000000000e+02,1.837173977200000168e-04
4.170000000000000000e+02,4.767217680000000127e-05
4.180000000000000000e+02,1.416059089660000130e-04
4.190000000000000000e+02,1.719072729799999929e-04
4.200000000000000000e+02,4.726459471999999923e-05
