# Meas. Channel, AC Voltage (V)
4.010000000000000000e+02,2.926253641200000227e-02
4.020000000000000000e+02,3.691203152800000276e-02
4.030000000000000000e+02,3.743082054799999614e-02
4.040000000000000000e+02,3.651955529999999922e-02
4.050000000000000000e+02,3.728513340599999559e-02
4.060000000000000000e+02,3.635820472399999698e-02
4.070000000000000000e+02,1.525957084000000019e-02
4.080000000000000000e+02,3.219288865199999849e-02
4.090000000000000000e+02,3.682115458400000291e-02
4.100000000000000000e+02,3.626842050600000145e-02
4.110000000000000000e+02,4.925798489599999977e-04
4.120000000000000000e+02,6.632531614000000144e-05
4.130000000000000000e+02,2.942647891999999746e-05
4.140000000000000000e+02,4.477796241999999934e-05
4.150000000000000000e+02,9.789283032000000221e-05
4.160000000000000000e+02,2.322552340139999688e-04
4.170000000000000000e+02,0.000000000000000000e+00
4.180000000000000000e+02,0.000000000000000000e+00
4.190000000000000000e+02,1.735562836600000060e-04
4.200000000000000000e+02,5.504470472000000359e-05
